-425.347927654,0,0,0,0,0,0,0,0,0,0
-431.074728722,0,0,0,0,0,0,0,0,0,0
-443.899916453,0,0,0,0,0,0,0,0,0,0
-434.999205837,0,0,0,0,0,0,0,0,0,0
-433.090418576,0,0,0,0,0,0,0,0,0,0
-405.359544894,0,0,0,0,0,0,0,0,0,0
-402.193094261,0,0,0,0,0,0,0,0,0,0
-438.726126839,0,0,0,0,0,0,0,0,0,0
-448.347159023,0,0,0,0,0,0,0,0,0,0
-416.275131704,0,0,0,0,0,0,0,0,0,0
-405.789647991,0,0,0,0,0,0,0,0,0,0
-374.376475289,0,0,0,0,0,0,0,0,0,0
-397.257627335,0,0,0,0,0,0,0,0,0,0
-438.713513736,0,0,0,0,0,0,0,0,0,0
-435.997745676,0,0,0,0,0,0,0,0,0,0
-448.559065476,0,0,0,0,0,0,0,0,0,0
-424.464998811,0,0,0,0,0,0,0,0,0,0
-404.058428479,0,0,0,0,0,0,0,0,0,0
-442.056622114,0,0,0,0,0,0,0,0,0,0
-403.905329991,0,0,0,0,0,0,0,0,0,0
